province,health_zone,pop
Tanganyika,Nyunzu,256807
Maniema,Kabambare,116783
Maniema,Pangi,94024
Maniema,Kalima,137782
Tshopo,Yalimbongo,98513
Bas-Uele,Aketi,136050
Mongala,Lolo,147261
Mongala,Yamongili,133977
Nord-Ubangi,Abuzi,76682
Mongala,Yambuku,288329
Nord-Ubangi,Wasolo,73914
Mongala,Bosondjo,205140
Mongala,Bumba,211816
Tshuapa,Mondombe,163504
Tshuapa,Djolu,222117
Tshopo,Opienge,60387
Maniema,Obokote,81384
Tshopo,Lowa,127609
Tshopo,Wanierukula,83522
Maniema,Lubutu,120435
Kwango,Kitenda,148015
Kwango,Kasongo Lunda,164245
Kwango,Popokabaka,181009
Kongo-Central,Kimvula,78332
Kinshasa,Maluku I,195736
Kongo-Central,Kimpese,198636
Kongo-Central,Nsona-Mpangu,113747
Kongo-Central,Kangu,105130
Kongo-Central,Kuimba,87945
Kongo-Central,Kinkonzi,71009
Kongo-Central,Mangembo,82294
Kongo-Central,Gombe-Matadi,104283
Kongo-Central,Masa,118946
Sud-Ubangi,Bokonzi,215776
Sud-Ubangi,Mawuya,154729
Sud-Ubangi,Zongo,75158
Sud-Ubangi,Libenge,228489
Nord-Ubangi,Bili,186282
Nord-Ubangi,Gbadolite,145937
Nord-Ubangi,Mobayi Mbongo,113107
Nord-Ubangi,Yakoma,102145
Bas-Uele,Monga,79342
Bas-Uele,Bondo,108944
Bas-Uele,Bili,64624
Bas-Uele,Ango,104136
Tshopo,Opala,123543
Kwango,Kahemba,246131
Kwilu,Gungu,228284
Kasaï,Kitangwa,246979
Kwilu,Mukedi,170096
Tanganyika,Kongolo,298617
Tanganyika,Mbulula,188875
Tanganyika,Kabalo,250004
Haut-Lomami,Bukama,350446
Haut-Lomami,Kabondo Dianda,263975
Haut-Lomami,Kabongo,360474
Haut-Lomami,Songa,180626
Haut-Lomami,Kayamba,105430
Haut-Lomami,Kitenge,279110
Tanganyika,Ankoro,253911
Haut-Lomami,Mulongo,287662
Haut-Lomami,Lwamba,134021
Haut-Lomami,Mukanga,216220
Haut-Lomami,Malemba,285915
Haut-Lomami,Kinda,89291
Haut-Lomami,Kamina,316517
Kwilu,Kikwit-Sud,253781
Haut-Katanga,Kenya,263256
Haut-Katanga,Kamalondo,63116
Haut-Katanga,Tshamilemba,214384
Haut-Katanga,Pweto,252652
Haut-Katanga,Lukafu,88161
Haut-Katanga,Mufunga Sampwe,175986
Haut-Katanga,Kilwa,316511
Haut-Katanga,Kapolowe,151620
Haut-Katanga,Panda,88159
Haut-Katanga,Kashobwe,143478
Haut-Katanga,Kampemba,398990
Haut-Katanga,Rwashi,364847
Kasaï-Central,Bena Tshiadi,115772
Kasaï-Central,Yangala,155288
Kasaï,Ilebo,180084
Kasaï,Luebo,246440
Kasaï-Central,Bena Leka,282317
Kasaï-Central,Muetshi,114210
Kasaï-Central,Tshikula,138099
Kasaï-Central,Dibaya,152099
Kasaï-Central,Kalomba,152881
Kasaï-Central,Tshibala,247221
Kasaï,Mushenge,148103
Kasaï,Bulape,172411
Kasaï-Central,Masuika,207691
Kasaï-Central,Luiza,174294
